Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/1/2024,Shipment,304-9859422-4115432,2024-06-04 16:06:25,6/1/2024,393060105839,Product A,1782
6/1/2024,Shipment,304-2462868-6236197,2024-06-02 15:42:54,6/1/2024,392610897986,Product A,220
6/1/2024,Shipment,504-8774925-8653811,2024-06-02 13:06:13,6/1/2024,393034716938,Product A,559
6/1/2024,Shipment,171-2151511-7534660,2024-06-02 3:05:36,6/1/2024,392610908470,Product A,321
6/1/2024,Refund,171-2151511-7534660,2024-06-02 3:05:36,6/1/2024,392610908470,Product A,-321
6/1/2024,Cancel,604-5170820-8599230,,,392022006723,,0
6/1/2024,Cancel,604-5170820-8599230,,,393623994259,,0
6/1/2024,Shipment,404-5157919-7330058,2024-06-02 17:00:13,6/1/2024,392024109611,Product A,1121
6/1/2024,Shipment,604-5170820-8599230,2024-06-04 15:59:47,6/1/2024,393611520077,Product A,1473
6/1/2024,Cancel,404-3646468-4057097,,,393588386150,,0
6/1/2024,Shipment,504-6985699-3493159,2024-06-02 22:25:36,6/1/2024,392012843623,Product A,799
6/1/2024,Refund,504-6985699-3493159,2024-06-02 22:25:36,6/1/2024,392012843623,Product A,-799
6/1/2024,Shipment,604-5170820-8599230,2024-06-04 16:06:20,6/1/2024,393574142546,Product A,2135
6/1/2024,Shipment,304-4823154-2572893,2024-06-02 10:24:14,6/1/2024,393598596769,Product A,632
6/1/2024,Shipment,604-4532023-9617186,2024-06-02 9:14:34,6/1/2024,393624888959,Product A,321
6/1/2024,Shipment,171-0433782-5117347,2024-06-02 15:33:04,6/1/2024,393054004248,Product A,245
6/1/2024,Shipment,204-5755723-0659759,2024-06-03 20:00:17,6/1/2024,393612841184,Product A,361
6/2/2024,Shipment,171-6663427-8176879,2024-06-05 15:51:44,6/1/2024,392610980396,Product A,626
6/2/2024,Shipment,404-9387060-5313902,2024-06-02 18:27:34,6/1/2024,393604375834,Product A,387
6/2/2024,Shipment,204-8047149-1093525,2024-06-02 15:31:18,6/1/2024,393069775948,Product A,572
6/2/2024,Refund,204-8047149-1093525,2024-06-02 15:31:18,6/1/2024,393069775948,Product A,-572
6/2/2024,Shipment,304-4977486-2215019,2024-06-02 15:29:57,6/1/2024,392610985248,Product A,572
6/2/2024,Shipment,604-3579318-5070797,2024-06-02 14:25:16,6/1/2024,392055428543,Product A,1836
6/2/2024,Shipment,304-0640754-0330629,2024-06-03 15:47:59,6/1/2024,393059232878,Product A,689
6/2/2024,Shipment,304-5681025-2697306,2024-06-02 15:42:35,6/1/2024,393028869760,Product A,563
6/2/2024,Shipment,504-0942749-8078960,2024-06-02 15:33:19,6/1/2024,393033084091,Product A,340
